Oliven ,olives,fruit,Stof (1/192 of a Fass),121.5,121.5,24,31,,96,4,,,,34,,3,,,,,,,,,,1,,,,,,,,,
Feÿgen,figs,fruit,Stof,46,,,,,,,,,0,46,,0,,,,,,,,,,,,,,,,,,,
Kümmell,carraway,spice,Pfund (lb),590,,,,,11,,,,590,,,,,,,,,,,,,,,,,,,,,,
Kirschmuß,cherry sauce,fruit,Pfund (lb),111,,0.875,,,,,,,31,111,,2,,,,,,,,,,12,,,,,,,,,
Brunellen,Krünitz: type of plum tree,fruit,Pfund (lb),150,,,,,100,24,,,0,150,,6,2,4,,,,,,,,,,,,,,,,,
Honig,honey,sweetener,Stof (1/192 of a Fass),48,,24,24,48,36,,,,4,,,,,4,10,4,,,,,,,,,,,,,,,
Hausenblasen,fish guts,bi-product,Pfund (lb),20,,,6,,8,,10,,4,20,,0,,,,,,,,,,,,,,,,,,,
Kirsch Kreide [?],cherry____,fruit,Pfund (lb),200,,,60.5,,200,,,,,,,,,,,,,,,,,,,,,,,,,,
Pflaumen,Plums,fruit,Pfund (lb),5740,636,345,1134,,,,24,,5740,551,,63,16,,,,,,,,,55,,,,,,,,,
Franckische Pflaumen,Plums from Franken,fruit,Pfund (lb),123,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,
Polnische Pflaumen,Polish plums,fruit,Pfund (lb),272,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,
Äpfel,apples,fruit,Stoff,480,,,,,,,,,,,,480,,,288,,,,,,,48,,,,,,,,,
eingemachte Rebarbeerbeeren,Barberry jam,fruit,Pfund (lb),20,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Kleinsalz,,salt,Stof (1/192 of a Fass),18979.2,3744,2112,3648,,,,184.32,,18979.2,782,,24,84,48,72,72,,,,,,432,,,,,,,,24,
Grobsalz,,salt,Stof (1/192 of a Fass),4382,3812,2696,4382,,,,0,,172.8,577,,24,60,14,,,,,,,,48,,,,,,,,,
Grütze Hirße,millet/sorghum groats,grain,"Stoff (Hohlmaße, fest 1/48 of a Scheffell)",204,178,60,204,,,,,,22.1,,,0,,,,,,,,,,,,,,,,,,,
Buchgrutz/Buchweitzen Grütze,buckwheat groats,grain,"Stoff (Hohlmaße, fest 1/48 of a Scheffell)",753,261.5,455.5,753,,,,,,99,144,,0,3,3,,,,,,,,155,,240,,,,,,,
Schwaden,water mannagrass,grain,"Stoff (Hohlmaße, fest 1/48 of a Scheffell)",120.5,120.5,45.5,97,,,,48,,59.3125,9,,0,,,,,,,,,,4,,,,,,,,,
Gerstengrüz,barley groats,grain,"Stoff (Hohlmaße, fest 1/48 of a Scheffell)",2294.4,2,149.5,1431.5,,,,0,48,2294.4,453,,9,3,,,,,,,,,48,,384,,,,,,,
Habergrütz,oats groats,grain,"Stoff (Hohlmaße, fest 1/48 of a Scheffell)",1808.16,459.5,463,936,,,,548.16,,1808.16,336,,28,,,,,,,,,,72,,336,,,,,,,
Gerstengraupen/ Graupen,pearl barley,grain,"Stoff (Hohlmaße, fest 1/48 of a Scheffell)",789,662,432,789,,,,,,71.5,48,,172,,8,,,,,,,,,,48,,,,,,,
Perlengrütz,pearl barley,grain,Pfund (lb),45,,,,,10,,,,45,10,,0,4,2,,,,,,,,4,,,,,,,,,
Reißmehl,rice flour,grain,Pfund (lb),130.125,,,,,,,,,130.125,45,,11,,,,,,,,,,,,,,,,,,,
Weitzen Mehl,wheat flour,grain,"Stoff (Hohlmaße, fest 1/48 of a Scheffell)",168,,,,,,,,,,,,,,,,,,,,,,168,,,,,,,,,
Erbßen,peas,vegetable,"Stoff (Hohlmaße, fest 1/48 of a Scheffell)",2195,1994.5,1427,2195,,,,0,,125.55,736,,1401.5,,,,,,,,,,192,,432,,,,,,,
Senf,mustard,seasoning,"Stoff (Hohlmaße, fest 1/48 of a Scheffell)",57,57,10,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Biereßig,beer vinegar,acid,Stof (1/192 of a Fass),12053,8438,4352,5518,7,,,48,,12053,1920,,63.5,,,11,27,,,,,,,,,,,,,,,
Kochwein,cooking wine,acid,Stof (1/192 of a Fass),16,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,
Weineßig,Wine vinegar,acid,Stof (1/192 of a Fass),12,,,,,,,,,,,,,,11,12,,,,,,,,,,,,,,,,
 Saffran,safron ,spice,Pfund (lb),9.06,7.9,3.3,8.7,0.625,9.06,1.5,3,,8.625,5.375,,0.03125,0.0625,0.03125,0.4375,0.1875,0.5,,,,,0.325,,,,,,,,,
Negelein,cloves,spice,Pfund (lb),350.875,13,10.484,17.328,0.25,52.125,11,3,,350.875,20.5625,,0.375,0.344,0.375,0.5625,0.375,2,,,,,1.7,,,,,,,,,
